Frame,Time,Head / localX,Head / localY,Head / localZ,Head / localDistChanged,Head / local ThetaX,Head / local ThetaY,Head / local ThetaZ,Right Arm / localX,Right Arm / localY,Right Arm / localZ,Right Arm / localDistChanged,Right Arm / local ThetaX,Right Arm / local ThetaY,Right Arm / local ThetaZ,Left Arm / localX,Left Arm / localY,Left Arm / localZ,Left Arm / localDistChanged,Left Arm / local ThetaX,Left Arm / local ThetaY,Left Arm / local ThetaZ
Frame 0,00:00:00:000000:0f,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Frame 1,00:00:00:041666:1f,0.0,0.0,0.0,0.0,0.0,0.02713528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Frame 2,00:00:00:083333:2f,0.0,0.0,0.0,0.0,0.0,0.10707432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Frame 3,00:00:00:125000:3f,0.0,0.0,0.0,0.0,0.0,0.2376167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Frame 4,00:00:00:166666:4f,0.0,0.0,0.0,0.0,0.0,0.41656141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Frame 5,00:00:00:208333:5f,0.0,0.0,0.0,0.0,0.0,0.64170609,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Frame 6,00:00:00:250000:6f,0.0,0.0,0.0,0.0,0.0,0.91084617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Frame 7,00:00:00:291666:7f,0.0,0.0,0.0,0.0,0.0,1.22177452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Frame 8,00:00:00:333333:8f,0.0,0.0,0.0,0.0,0.0,1.57228105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Frame 9,00:00:00:375000:9f,0.0,0.0,0.0,0.0,0.0,1.96014945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Frame 10,00:00:00:416666:10f,0.0,0.0,0.0,0.0,0.0,2.383161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Frame 11,00:00:00:458333:11f,0.0,0.0,0.0,0.0,0.0,2.83908936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Frame 12,00:00:00:500000:12f,0.0,0.0,0.0,0.0,0.0,3.32570512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Frame 13,00:00:00:541666:13f,0.0,0.0,0.0,0.0,0.0,3.84077033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Frame 14,00:00:00:583333:14f,0.0,0.0,0.0,0.0,0.0,4.38204403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Frame 15,00:00:00:625000:15f,0.0,0.0,0.0,0.0,0.0,4.94727933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Frame 16,00:00:00:666666:16f,0.0,0.0,0.0,0.0,0.0,5.5342248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Frame 17,00:00:00:708333:17f,0.0,0.0,0.0,0.0,0.0,6.14062223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Frame 18,00:00:00:750000:18f,0.0,0.0,0.0,0.0,0.0,6.7642185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Frame 19,00:00:00:791666:19f,0.0,0.0,0.0,0.0,0.0,7.40274941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Frame 20,00:00:00:833333:20f,0.0,0.0,0.0,0.0,0.0,8.05395757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Frame 21,00:00:00:875000:21f,0.0,0.0,0.0,0.0,0.0,8.71557922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Frame 22,00:00:00:916666:22f,0.0,0.0,0.0,0.0,0.0,9.38536293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Frame 23,00:00:00:958333:23f,0.0,0.0,0.0,0.0,0.0,10.06105733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Frame 24,00:00:01:000000:24f,0.0,0.0,0.0,0.0,0.0,10.74041099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Frame 25,00:00:01:041666:25f,0.0,0.0,0.0,0.0,0.0,11.42118705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Frame 26,00:00:01:083333:26f,0.0,0.0,0.0,0.0,0.0,12.10115287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Frame 27,00:00:01:125000:27f,0.0,0.0,0.0,0.0,0.0,12.77809206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Frame 28,00:00:01:166666:28f,0.0,0.0,0.0,0.0,0.0,13.44979592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Frame 29,00:00:01:208333:29f,0.0,0.0,0.0,0.0,0.0,14.11407536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Frame 30,00:00:01:250000:30f,0.0,0.0,0.0,0.0,0.0,14.76874558,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Frame 31,00:00:01:291666:31f,0.0,0.0,0.0,0.0,0.0,15.41164396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Frame 32,00:00:01:333333:32f,0.0,0.0,0.0,0.0,0.0,16.04062584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Frame 33,00:00:01:375000:33f,0.0,0.0,0.0,0.0,0.0,16.65355847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Frame 34,00:00:01:416666:34f,0.0,0.0,0.0,0.0,0.0,17.24832793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Frame 35,00:00:01:458333:35f,0.0,0.0,0.0,0.0,0.0,17.82283393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Frame 36,00:00:01:500000:36f,0.0,0.0,0.0,0.0,0.0,18.37500008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Frame 37,00:00:01:541666:37f,0.0,0.0,0.0,0.0,0.0,18.90275684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Frame 38,00:00:01:583333:38f,0.0,0.0,0.0,0.0,0.0,19.40405687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Frame 39,00:00:01:625000:39f,0.0,0.0,0.0,0.0,0.0,19.87685793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
